country,year,drought_killed,earthquake_killed,epidemic_killed,flood_killed,storm_killed,total_forest_area,female_bmi,male_bmi,murder_rate
Lithuania,1970,0.0,,,,,,,,
"Macedonia, FYR",1970,0.0,,,,,,,,
Madagascar,1970,0.0,,,,,,,,
Malawi,1970,0.0,,,,,,,,
Malaysia,1970,0.0,,,,,,,,
Mali,1970,0.0,,,,,,,,
Mauritania,1970,0.0,,,,,,,,
Mauritius,1970,0.0,,,,,,,,
Mexico,1970,0.0,,,,,,,,
"Micronesia, Fed. Sts.",1970,0.0,,,,,,,,
Moldova,1970,0.0,,,,,,,,
Mongolia,1970,0.0,,,,,,,,
Morocco,1970,0.0,,,,,,,,
Mozambique,1970,0.0,,,,,,,,
Namibia,1970,0.0,,,,,,,,
Nepal,1970,0.0,,,,,,,,
New Zealand,1970,0.0,,,,,,,,
Nicaragua,1970,0.0,,,,,,,,
Niger,1970,0.0,,,,,,,,
Nigeria,1970,0.0,,,,,,,,
Pakistan,1970,0.0,,,,,,,,
Panama,1970,0.0,,,,,,,,
Papua New Guinea,1970,0.0,,,,,,,,
Paraguay,1970,0.0,,,,,,,,
Peru,1970,0.0,,,,,,,,
Philippines,1970,0.0,,,,,,,,
Portugal,1970,0.0,,,,,,,,
Puerto Rico,1970,0.0,,,,,,,,
Romania,1970,0.0,,,,,,,,
Russia,1970,0.0,,,,,,,,
Rwanda,1970,0.0,,,,,,,,
Sao Tome and Principe,1970,0.0,,,,,,,,
Senegal,1970,0.0,,,,,,,,
Solomon Islands,1970,0.0,,,,,,,,
Somalia,1970,0.0,,,,,,,,
South Africa,1970,0.0,,,,,,,,
Spain,1970,0.0,,,,,,,,
Sri Lanka,1970,0.0,,,,,,,,
Sudan,1970,0.0,,,,,,,,
Swaziland,1970,0.0,,,,,,,,
Syria,1970,0.0,,,,,,,,
Tajikistan,1970,0.0,,,,,,,,
Tanzania,1970,0.0,,,,,,,,
Thailand,1970,0.0,,,,,,,,
Togo,1970,0.0,,,,,,,,
Tunisia,1970,0.0,,,,,,,,
Uganda,1970,0.0,,,,,,,,
United States,1970,0.0,,,,,,,,
Uruguay,1970,0.0,,,,,,,,
Uzbekistan,1970,0.0,,,,,,,,
Vietnam,1970,0.0,,,,,,,,
Yemen Arab Republic (Former),1970,0.0,,,,,,,,
Yemen Democratic (Former),1970,0.0,,,,,,,,
Yugoslavia,1970,0.0,,,,,,,,
Zambia,1970,0.0,,,,,,,,
Zimbabwe,1970,0.0,,,,,,,,
Afghanistan,1971,0.0,,,,,,,,
Albania,1971,0.0,,,,,,,,
Algeria,1971,0.0,,,,,,,,
Angola,1971,0.0,,,,,,,,
Antigua and Barbuda,1971,0.0,,,,,,,,
Argentina,1971,0.0,,,,,,,,
Armenia,1971,0.0,,,,,,,,
Australia,1971,0.0,,,,,,,,
Azerbaijan,1971,0.0,,,,,,,,
Bangladesh,1971,0.0,,,,,,,,
Belgium,1971,0.0,,,,,,,,
Benin,1971,0.0,,,,,,,,
Bolivia,1971,0.0,,,,,,,,
Bosnia and Herzegovina,1971,0.0,,,,,,,,
Botswana,1971,0.0,,,,,,,,
Brazil,1971,0.0,,,,,,,,
Bulgaria,1971,0.0,,,,,,,,
Burkina Faso,1971,0.0,,,,,,,,
Burundi,1971,0.0,,,,,,,,
Cambodia,1971,0.0,,,,,,,,
Cameroon,1971,0.0,,,,,,,,
Canada,1971,0.0,,,,,,,,
Cape Verde,1971,0.0,,,,,,,,
Central African Rep.,1971,0.0,,,,,,,,
Chad,1971,0.0,,,,,,,,
Chile,1971,0.0,,,,,,,,
China,1971,0.0,,,,,,,,
Colombia,1971,0.0,,,,,,,,
Comoros,1971,0.0,,,,,,,,
"Congo, Dem. Rep.",1971,0.0,,,,,,,,
"Congo, Rep.",1971,0.0,,,,,,,,
Costa Rica,1971,0.0,,,,,,,,
Cote d'Ivoire,1971,0.0,,,,,,,,
Croatia,1971,0.0,,,,,,,,
Cuba,1971,0.0,,,,,,,,
Cyprus,1971,0.0,,,,,,,,
Denmark,1971,0.0,,,,,,,,
Djibouti,1971,0.0,,,,,,,,
East Timor,1971,0.0,,,,,,,,
Ecuador,1971,0.0,,,,,,,,
El Salvador,1971,0.0,,,,,,,,
Eritrea,1971,0.0,,,,,,,,
Ethiopia,1971,0.0,,,,,,,,
Fiji,1971,0.0,,,,,,,,
France,1971,0.0,,,,,,,,
Gambia,1971,0.0,,,,,,,,
Georgia,1971,0.0,,,,,,,,
Ghana,1971,0.0,,,,,,,,
Greece,1971,0.0,,,,,,,,
Guatemala,1971,0.0,,,,,,,,
Guinea,1971,0.0,,,,,,,,
Guinea-Bissau,1971,0.0,,,,,,,,
Guyana,1971,0.0,,,,,,,,
Haiti,1971,0.0,,,,,,,,
Honduras,1971,0.0,,,,,,,,
"Hong Kong, China",1971,0.0,,,,,,,,
Hungary,1971,0.0,,,,,,,,
India,1971,0.0,,,,,,,,
Indonesia,1971,0.0,,,,,,,,
Iran,1971,0.0,,,,,,,,
Iraq,1971,0.0,,,,,,,,
Israel,1971,0.0,,,,,,,,
Italy,1971,0.0,,,,,,,,
Jamaica,1971,0.0,,,,,,,,
Japan,1971,0.0,,,,,,,,
Jordan,1971,0.0,,,,,,,,
Kenya,1971,0.0,,,,,,,,
Kiribati,1971,0.0,,,,,,,,
Korea Rep,1971,0.0,,,,,,,,
Laos,1971,0.0,,,,,,,,
Lesotho,1971,0.0,,,,,,,,
Liberia,1971,0.0,,,,,,,,
Lithuania,1971,0.0,,,,,,,,
"Macedonia, FYR",1971,0.0,,,,,,,,
Madagascar,1971,0.0,,,,,,,,
Malawi,1971,0.0,,,,,,,,
Malaysia,1971,0.0,,,,,,,,
Mali,1971,0.0,,,,,,,,
Mauritania,1971,0.0,,,,,,,,
Mauritius,1971,0.0,,,,,,,,
Mexico,1971,0.0,,,,,,,,
"Micronesia, Fed. Sts.",1971,0.0,,,,,,,,
Moldova,1971,0.0,,,,,,,,
Mongolia,1971,0.0,,,,,,,,
Morocco,1971,0.0,,,,,,,,
Mozambique,1971,0.0,,,,,,,,
Namibia,1971,0.0,,,,,,,,
Nepal,1971,0.0,,,,,,,,
New Zealand,1971,0.0,,,,,,,,
Nicaragua,1971,0.0,,,,,,,,
Niger,1971,0.0,,,,,,,,
Nigeria,1971,0.0,,,,,,,,
Pakistan,1971,0.0,,,,,,,,
Panama,1971,0.0,,,,,,,,
Papua New Guinea,1971,0.0,,,,,,,,
Paraguay,1971,0.0,,,,,,,,
Peru,1971,0.0,,,,,,,,
Philippines,1971,0.0,,,,,,,,
Portugal,1971,0.0,,,,,,,,
Puerto Rico,1971,0.0,,,,,,,,
Romania,1971,0.0,,,,,,,,
Russia,1971,0.0,,,,,,,,
Rwanda,1971,0.0,,,,,,,,
Sao Tome and Principe,1971,0.0,,,,,,,,
Senegal,1971,0.0,,,,,,,,
Solomon Islands,1971,0.0,,,,,,,,
Somalia,1971,0.0,,,,,,,,
South Africa,1971,0.0,,,,,,,,
Spain,1971,0.0,,,,,,,,
Sri Lanka,1971,0.0,,,,,,,,
Sudan,1971,0.0,,,,,,,,
Swaziland,1971,0.0,,,,,,,,
Syria,1971,0.0,,,,,,,,
Tajikistan,1971,0.0,,,,,,,,
Tanzania,1971,0.0,,,,,,,,
Thailand,1971,0.0,,,,,,,,
Togo,1971,0.0,,,,,,,,
Tunisia,1971,0.0,,,,,,,,
Uganda,1971,0.0,,,,,,,,
United States,1971,0.0,,,,,,,,
Uruguay,1971,0.0,,,,,,,,
Uzbekistan,1971,0.0,,,,,,,,
Vietnam,1971,0.0,,,,,,,,
Yemen Arab Republic (Former),1971,0.0,,,,,,,,
Yemen Democratic (Former),1971,0.0,,,,,,,,
Yugoslavia,1971,0.0,,,,,,,,
Zambia,1971,0.0,,,,,,,,
Zimbabwe,1971,0.0,,,,,,,,
Afghanistan,1972,0.0,,,,,,,,
Albania,1972,0.0,,,,,,,,
Algeria,1972,0.0,,,,,,,,
Angola,1972,0.0,,,,,,,,
Antigua and Barbuda,1972,0.0,,,,,,,,
Argentina,1972,0.0,,,,,,,,
Armenia,1972,0.0,,,,,,,,
Australia,1972,0.0,,,,,,,,
Azerbaijan,1972,0.0,,,,,,,,
Bangladesh,1972,0.0,,,,,,,,
Belgium,1972,0.0,,,,,,,,
Benin,1972,0.0,,,,,,,,
Bolivia,1972,0.0,,,,,,,,
Bosnia and Herzegovina,1972,0.0,,,,,,,,
Botswana,1972,0.0,,,,,,,,
Brazil,1972,0.0,,,,,,,,
Bulgaria,1972,0.0,,,,,,,,
Burkina Faso,1972,0.0,,,,,,,,
Burundi,1972,0.0,,,,,,,,
Cambodia,1972,0.0,,,,,,,,
Cameroon,1972,0.0,,,,,,,,
Canada,1972,0.0,,,,,,,,
Cape Verde,1972,0.0,,,,,,,,
Central African Rep.,1972,0.0,,,,,,,,
Chad,1972,0.0,,,,,,,,
Chile,1972,0.0,,,,,,,,
China,1972,0.0,,,,,,,,
Colombia,1972,0.0,,,,,,,,
Comoros,1972,0.0,,,,,,,,
"Congo, Dem. Rep.",1972,0.0,,,,,,,,
"Congo, Rep.",1972,0.0,,,,,,,,
Costa Rica,1972,0.0,,,,,,,,
Cote d'Ivoire,1972,0.0,,,,,,,,
Croatia,1972,0.0,,,,,,,,
Cuba,1972,0.0,,,,,,,,
Cyprus,1972,0.0,,,,,,,,
Denmark,1972,0.0,,,,,,,,
Djibouti,1972,0.0,,,,,,,,
East Timor,1972,0.0,,,,,,,,
Ecuador,1972,0.0,,,,,,,,
El Salvador,1972,0.0,,,,,,,,
Eritrea,1972,0.0,,,,,,,,
Ethiopia,1972,0.0,,,,,,,,
Fiji,1972,0.0,,,,,,,,
France,1972,0.0,,,,,,,,
Gambia,1972,0.0,,,,,,,,
Georgia,1972,0.0,,,,,,,,
Ghana,1972,0.0,,,,,,,,
Greece,1972,0.0,,,,,,,,
Guatemala,1972,0.0,,,,,,,,
Guinea,1972,0.0,,,,,,,,
Guinea-Bissau,1972,0.0,,,,,,,,
Guyana,1972,0.0,,,,,,,,
Haiti,1972,0.0,,,,,,,,
Honduras,1972,0.0,,,,,,,,
"Hong Kong, China",1972,0.0,,,,,,,,
Hungary,1972,0.0,,,,,,,,
India,1972,0.0,,,,,,,,
Indonesia,1972,0.0,,,,,,,,
Iran,1972,0.0,,,,,,,,
Iraq,1972,0.0,,,,,,,,
Israel,1972,0.0,,,,,,,,
Italy,1972,0.0,,,,,,,,
Jamaica,1972,0.0,,,,,,,,
Japan,1972,0.0,,,,,,,,
Jordan,1972,0.0,,,,,,,,
Kenya,1972,0.0,,,,,,,,
Kiribati,1972,0.0,,,,,,,,
Korea Rep,1972,0.0,,,,,,,,
Laos,1972,0.0,,,,,,,,
Lesotho,1972,0.0,,,,,,,,
Liberia,1972,0.0,,,,,,,,
Lithuania,1972,0.0,,,,,,,,
"Macedonia, FYR",1972,0.0,,,,,,,,
Madagascar,1972,0.0,,,,,,,,
Malawi,1972,0.0,,,,,,,,
Malaysia,1972,0.0,,,,,,,,
Mali,1972,0.0,,,,,,,,
Mauritania,1972,0.0,,,,,,,,
Mauritius,1972,0.0,,,,,,,,
Mexico,1972,0.0,,,,,,,,
"Micronesia, Fed. Sts.",1972,0.0,,,,,,,,
Moldova,1972,0.0,,,,,,,,
Mongolia,1972,0.0,,,,,,,,
Morocco,1972,0.0,,,,,,,,
Mozambique,1972,0.0,,,,,,,,
Namibia,1972,0.0,,,,,,,,
Nepal,1972,0.0,,,,,,,,
New Zealand,1972,0.0,,,,,,,,
Nicaragua,1972,0.0,,,,,,,,
Niger,1972,0.0,,,,,,,,
Nigeria,1972,0.0,,,,,,,,
Pakistan,1972,0.0,,,,,,,,
Panama,1972,0.0,,,,,,,,
Papua New Guinea,1972,0.0,,,,,,,,
Paraguay,1972,0.0,,,,,,,,
Peru,1972,0.0,,,,,,,,
Philippines,1972,0.0,,,,,,,,
Portugal,1972,0.0,,,,,,,,
Puerto Rico,1972,0.0,,,,,,,,
Romania,1972,0.0,,,,,,,,
Russia,1972,0.0,,,,,,,,
Rwanda,1972,0.0,,,,,,,,
Sao Tome and Principe,1972,0.0,,,,,,,,
Senegal,1972,0.0,,,,,,,,
Solomon Islands,1972,0.0,,,,,,,,
Somalia,1972,0.0,,,,,,,,
South Africa,1972,0.0,,,,,,,,
Spain,1972,0.0,,,,,,,,
Sri Lanka,1972,0.0,,,,,,,,
Sudan,1972,0.0,,,,,,,,
Swaziland,1972,0.0,,,,,,,,
Syria,1972,0.0,,,,,,,,
Tajikistan,1972,0.0,,,,,,,,
Tanzania,1972,0.0,,,,,,,,
Thailand,1972,0.0,,,,,,,,
Togo,1972,0.0,,,,,,,,
Tunisia,1972,0.0,,,,,,,,
Uganda,1972,0.0,,,,,,,,
United States,1972,0.0,,,,,,,,
Uruguay,1972,0.0,,,,,,,,
Uzbekistan,1972,0.0,,,,,,,,
Vietnam,1972,0.0,,,,,,,,
Yemen Arab Republic (Former),1972,0.0,,,,,,,,
Yemen Democratic (Former),1972,0.0,,,,,,,,
Yugoslavia,1972,0.0,,,,,,,,
Zambia,1972,0.0,,,,,,,,
Zimbabwe,1972,0.0,,,,,,,,
Afghanistan,1973,0.0,,,,,,,,
Albania,1973,0.0,,,,,,,,
Algeria,1973,0.0,,,,,,,,
Angola,1973,0.0,,,,,,,,
Antigua and Barbuda,1973,0.0,,,,,,,,
Argentina,1973,0.0,,,,,,,,
Armenia,1973,0.0,,,,,,,,
Australia,1973,0.0,,,,,,,,
Azerbaijan,1973,0.0,,,,,,,,
Bangladesh,1973,0.0,,,,,,,,
Belgium,1973,0.0,,,,,,,,
Benin,1973,0.0,,,,,,,,
Bolivia,1973,0.0,,,,,,,,
Bosnia and Herzegovina,1973,0.0,,,,,,,,
Botswana,1973,0.0,,,,,,,,
Brazil,1973,0.0,,,,,,,,
Bulgaria,1973,0.0,,,,,,,,
Burkina Faso,1973,0.0,,,,,,,,
Burundi,1973,0.0,,,,,,,,
Cambodia,1973,0.0,,,,,,,,
Cameroon,1973,0.0,,,,,,,,
Canada,1973,0.0,,,,,,,,
Cape Verde,1973,0.0,,,,,,,,
Central African Rep.,1973,0.0,,,,,,,,
Chad,1973,0.0,,,,,,,,
Chile,1973,0.0,,,,,,,,
China,1973,0.0,,,,,,,,
Colombia,1973,0.0,,,,,,,,
Comoros,1973,0.0,,,,,,,,
"Congo, Dem. Rep.",1973,0.0,,,,,,,,
"Congo, Rep.",1973,0.0,,,,,,,,
Costa Rica,1973,0.0,,,,,,,,
Cote d'Ivoire,1973,0.0,,,,,,,,
Croatia,1973,0.0,,,,,,,,
Cuba,1973,0.0,,,,,,,,
Cyprus,1973,0.0,,,,,,,,
Denmark,1973,0.0,,,,,,,,
Djibouti,1973,0.0,,,,,,,,
East Timor,1973,0.0,,,,,,,,
Ecuador,1973,0.0,,,,,,,,
El Salvador,1973,0.0,,,,,,,,
Eritrea,1973,0.0,,,,,,,,
Ethiopia,1973,100000.0,,,,,,,,
Fiji,1973,0.0,,,,,,,,
France,1973,0.0,,,,,,,,
Gambia,1973,0.0,,,,,,,,
Georgia,1973,0.0,,,,,,,,
Ghana,1973,0.0,,,,,,,,
Greece,1973,0.0,,,,,,,,
Guatemala,1973,0.0,,,,,,,,
Guinea,1973,0.0,,,,,,,,
Guinea-Bissau,1973,0.0,,,,,,,,
Guyana,1973,0.0,,,,,,,,
Haiti,1973,0.0,,,,,,,,
Honduras,1973,0.0,,,,,,,,
"Hong Kong, China",1973,0.0,,,,,,,,
Hungary,1973,0.0,,,,,,,,
India,1973,0.0,,,,,,,,
Indonesia,1973,0.0,,,,,,,,
Iran,1973,0.0,,,,,,,,
Iraq,1973,0.0,,,,,,,,
Israel,1973,0.0,,,,,,,,
Italy,1973,0.0,,,,,,,,
Jamaica,1973,0.0,,,,,,,,
Japan,1973,0.0,,,,,,,,
Jordan,1973,0.0,,,,,,,,
Kenya,1973,0.0,,,,,,,,
Kiribati,1973,0.0,,,,,,,,
Korea Rep,1973,0.0,,,,,,,,
Laos,1973,0.0,,,,,,,,
Lesotho,1973,0.0,,,,,,,,
Liberia,1973,0.0,,,,,,,,
Lithuania,1973,0.0,,,,,,,,
"Macedonia, FYR",1973,0.0,,,,,,,,
Madagascar,1973,0.0,,,,,,,,
Malawi,1973,0.0,,,,,,,,
Malaysia,1973,0.0,,,,,,,,
Mali,1973,0.0,,,,,,,,
Mauritania,1973,0.0,,,,,,,,
Mauritius,1973,0.0,,,,,,,,
Mexico,1973,0.0,,,,,,,,
"Micronesia, Fed. Sts.",1973,0.0,,,,,,,,
Moldova,1973,0.0,,,,,,,,
Mongolia,1973,0.0,,,,,,,,
Morocco,1973,0.0,,,,,,,,
Mozambique,1973,0.0,,,,,,,,
Namibia,1973,0.0,,,,,,,,
Nepal,1973,0.0,,,,,,,,
New Zealand,1973,0.0,,,,,,,,
Nicaragua,1973,0.0,,,,,,,,
Niger,1973,0.0,,,,,,,,
Nigeria,1973,0.0,,,,,,,,
Pakistan,1973,0.0,,,,,,,,
Panama,1973,0.0,,,,,,,,
Papua New Guinea,1973,0.0,,,,,,,,
Paraguay,1973,0.0,,,,,,,,
Peru,1973,0.0,,,,,,,,
Philippines,1973,0.0,,,,,,,,
Portugal,1973,0.0,,,,,,,,
Puerto Rico,1973,0.0,,,,,,,,
Romania,1973,0.0,,,,,,,,
Russia,1973,0.0,,,,,,,,
Rwanda,1973,0.0,,,,,,,,
Sao Tome and Principe,1973,0.0,,,,,,,,
Senegal,1973,0.0,,,,,,,,
Solomon Islands,1973,0.0,,,,,,,,
Somalia,1973,19000.0,,,,,,,,
South Africa,1973,0.0,,,,,,,,
Spain,1973,0.0,,,,,,,,
Sri Lanka,1973,0.0,,,,,,,,
Sudan,1973,0.0,,,,,,,,
Swaziland,1973,0.0,,,,,,,,
Syria,1973,0.0,,,,,,,,
Tajikistan,1973,0.0,,,,,,,,
Tanzania,1973,0.0,,,,,,,,
Thailand,1973,0.0,,,,,,,,
Togo,1973,0.0,,,,,,,,
Tunisia,1973,0.0,,,,,,,,
Uganda,1973,0.0,,,,,,,,
United States,1973,0.0,,,,,,,,
Uruguay,1973,0.0,,,,,,,,
Uzbekistan,1973,0.0,,,,,,,,
Vietnam,1973,0.0,,,,,,,,
Yemen Arab Republic (Former),1973,0.0,,,,,,,,
Yemen Democratic (Former),1973,0.0,,,,,,,,
Yugoslavia,1973,0.0,,,,,,,,
Zambia,1973,0.0,,,,,,,,
Zimbabwe,1973,0.0,,,,,,,,
Afghanistan,1974,0.0,,,,,,,,
Albania,1974,0.0,,,,,,,,
Algeria,1974,0.0,,,,,,,,
Angola,1974,0.0,,,,,,,,
Antigua and Barbuda,1974,0.0,,,,,,,,
Argentina,1974,0.0,,,,,,,,
Armenia,1974,0.0,,,,,,,,
Australia,1974,0.0,,,,,,,,
Azerbaijan,1974,0.0,,,,,,,,
Bangladesh,1974,0.0,,,,,,,,
Belgium,1974,0.0,,,,,,,,
Benin,1974,0.0,,,,,,,,
Bolivia,1974,0.0,,,,,,,,
Bosnia and Herzegovina,1974,0.0,,,,,,,,
Botswana,1974,0.0,,,,,,,,
Brazil,1974,0.0,,,,,,,,
Bulgaria,1974,0.0,,,,,,,,
Burkina Faso,1974,0.0,,,,,,,,
Burundi,1974,0.0,,,,,,,,
Cambodia,1974,0.0,,,,,,,,
Cameroon,1974,0.0,,,,,,,,
Canada,1974,0.0,,,,,,,,
Cape Verde,1974,0.0,,,,,,,,
Central African Rep.,1974,0.0,,,,,,,,
Chad,1974,0.0,,,,,,,,
Chile,1974,0.0,,,,,,,,
China,1974,0.0,,,,,,,,
Colombia,1974,0.0,,,,,,,,
Comoros,1974,0.0,,,,,,,,
"Congo, Dem. Rep.",1974,0.0,,,,,,,,
"Congo, Rep.",1974,0.0,,,,,,,,
Costa Rica,1974,0.0,,,,,,,,
Cote d'Ivoire,1974,0.0,,,,,,,,
Croatia,1974,0.0,,,,,,,,
Cuba,1974,0.0,,,,,,,,
Cyprus,1974,0.0,,,,,,,,
Denmark,1974,0.0,,,,,,,,
Djibouti,1974,0.0,,,,,,,,
East Timor,1974,0.0,,,,,,,,
Ecuador,1974,0.0,,,,,,,,
El Salvador,1974,0.0,,,,,,,,
Eritrea,1974,0.0,,,,,,,,
Ethiopia,1974,0.0,,,,,,,,
Fiji,1974,0.0,,,,,,,,
France,1974,0.0,,,,,,,,
Gambia,1974,0.0,,,,,,,,
Georgia,1974,0.0,,,,,,,,
Ghana,1974,0.0,,,,,,,,
Greece,1974,0.0,,,,,,,,
Guatemala,1974,0.0,,,,,,,,
Guinea,1974,0.0,,,,,,,,
Guinea-Bissau,1974,0.0,,,,,,,,
Guyana,1974,0.0,,,,,,,,
Haiti,1974,0.0,,,,,,,,
Honduras,1974,0.0,,,,,,,,
"Hong Kong, China",1974,0.0,,,,,,,,
Hungary,1974,0.0,,,,,,,,
India,1974,0.0,,,,,,,,
Indonesia,1974,0.0,,,,,,,,
Iran,1974,0.0,,,,,,,,
Iraq,1974,0.0,,,,,,,,
Israel,1974,0.0,,,,,,,,
Italy,1974,0.0,,,,,,,,
Jamaica,1974,0.0,,,,,,,,
Japan,1974,0.0,,,,,,,,
Jordan,1974,0.0,,,,,,,,
Kenya,1974,0.0,,,,,,,,
Kiribati,1974,0.0,,,,,,,,
Korea Rep,1974,0.0,,,,,,,,
Laos,1974,0.0,,,,,,,,
Lesotho,1974,0.0,,,,,,,,
Liberia,1974,0.0,,,,,,,,
Lithuania,1974,0.0,,,,,,,,
"Macedonia, FYR",1974,0.0,,,,,,,,
Madagascar,1974,0.0,,,,,,,,
Malawi,1974,0.0,,,,,,,,
Malaysia,1974,0.0,,,,,,,,
Mali,1974,0.0,,,,,,,,
Mauritania,1974,0.0,,,,,,,,
Mauritius,1974,0.0,,,,,,,,
Mexico,1974,0.0,,,,,,,,
"Micronesia, Fed. Sts.",1974,0.0,,,,,,,,
Moldova,1974,0.0,,,,,,,,
Mongolia,1974,0.0,,,,,,,,
Morocco,1974,0.0,,,,,,,,
Mozambique,1974,0.0,,,,,,,,
Namibia,1974,0.0,,,,,,,,
Nepal,1974,0.0,,,,,,,,
New Zealand,1974,0.0,,,,,,,,
Nicaragua,1974,0.0,,,,,,,,
Niger,1974,0.0,,,,,,,,
Nigeria,1974,0.0,,,,,,,,
Pakistan,1974,0.0,,,,,,,,
Panama,1974,0.0,,,,,,,,
Papua New Guinea,1974,0.0,,,,,,,,
Paraguay,1974,0.0,,,,,,,,
Peru,1974,0.0,,,,,,,,
Philippines,1974,0.0,,,,,,,,
Portugal,1974,0.0,,,,,,,,
Puerto Rico,1974,0.0,,,,,,,,
Romania,1974,0.0,,,,,,,,
Russia,1974,0.0,,,,,,,,
Rwanda,1974,0.0,,,,,,,,
Sao Tome and Principe,1974,0.0,,,,,,,,
Senegal,1974,0.0,,,,,,,,
Solomon Islands,1974,0.0,,,,,,,,
Somalia,1974,0.0,,,,,,,,
South Africa,1974,0.0,,,,,,,,
Spain,1974,0.0,,,,,,,,
Sri Lanka,1974,0.0,,,,,,,,
Sudan,1974,0.0,,,,,,,,
Swaziland,1974,0.0,,,,,,,,
Syria,1974,0.0,,,,,,,,
Tajikistan,1974,0.0,,,,,,,,
Tanzania,1974,0.0,,,,,,,,
Thailand,1974,0.0,,,,,,,,
Togo,1974,0.0,,,,,,,,
Tunisia,1974,0.0,,,,,,,,
Uganda,1974,0.0,,,,,,,,
United States,1974,0.0,,,,,,,,
Uruguay,1974,0.0,,,,,,,,
Uzbekistan,1974,0.0,,,,,,,,
Vietnam,1974,0.0,,,,,,,,
Yemen Arab Republic (Former),1974,0.0,,,,,,,,
Yemen Democratic (Former),1974,0.0,,,,,,,,
Yugoslavia,1974,0.0,,,,,,,,
Zambia,1974,0.0,,,,,,,,
Zimbabwe,1974,0.0,,,,,,,,
Afghanistan,1975,0.0,,,,,,,,
Albania,1975,0.0,,,,,,,,
Algeria,1975,0.0,,,,,,,,
Angola,1975,0.0,,,,,,,,
Antigua and Barbuda,1975,0.0,,,,,,,,
Argentina,1975,0.0,,,,,,,,
Armenia,1975,0.0,,,,,,,,
Australia,1975,0.0,,,,,,,,
Azerbaijan,1975,0.0,,,,,,,,
Bangladesh,1975,0.0,,,,,,,,
Belgium,1975,0.0,,,,,,,,
Benin,1975,0.0,,,,,,,,
Bolivia,1975,0.0,,,,,,,,
Bosnia and Herzegovina,1975,0.0,,,,,,,,
Botswana,1975,0.0,,,,,,,,
Brazil,1975,0.0,,,,,,,,
Bulgaria,1975,0.0,,,,,,,,
Burkina Faso,1975,0.0,,,,,,,,
Burundi,1975,0.0,,,,,,,,
Cambodia,1975,0.0,,,,,,,,
